DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
6050101	6010101	6050101	6050101	6050101	6050101	6050101	6041231	0605-01-01	0601-01-01	0605-01-01	0605-01-01	0605-01-01	0605-01-01	0605-01-01	0604-12-31	6050101	7	605	1	1	1	1	1	1	1	1	2	-43075238400	0605-01-01	January 1st, 0605	01 JAN 0605	Seventh	0605-01-01	First	First	First	January	001	1st	First Tuesday	Tuesday	S1	T1	Q1	Jan	1st Tue	Tue	0605-S1	0605-T1	0605-Q1	0605-01 (Jan)	0605-001	0605-First Semester	0605-First Trimester	0605-First Quarter	0605-01 (January)	0604-W01	0604-W-2	Weekday
6050201	6010101	6050101	6050101	6050101	6050101	6050201	6050128	0605-02-01	0601-01-01	0605-01-01	0605-01-01	0605-01-01	0605-01-01	0605-02-01	0605-01-28	6050201	7	605	1	1	1	2	5	32	1	1	5	-43072560000	0605-02-01	February 1st, 0605	01 FEB 0605	Seventh	0605-01-01	First	First	First	February	032	1st	First Friday	Friday	S1	T1	Q1	Feb	1st Fri	Fri	0605-S1	0605-T1	0605-Q1	0605-02 (Feb)	0605-032	0605-First Semester	0605-First Trimester	0605-First Quarter	0605-02 (February)	0605-W05	0605-W-5	Weekday
6050301	6010101	6050101	6050101	6050101	6050101	6050301	6050225	0605-03-01	0601-01-01	0605-01-01	0605-01-01	0605-01-01	0605-01-01	0605-03-01	0605-02-25	6050301	7	605	1	1	1	3	9	60	1	1	5	-43070140800	0605-03-01	March 1st, 0605	01 MAR 0605	Seventh	0605-01-01	First	First	First	March	060	1st	First Friday	Friday	S1	T1	Q1	Mar	1st Fri	Fri	0605-S1	0605-T1	0605-Q1	0605-03 (Mar)	0605-060	0605-First Semester	0605-First Trimester	0605-First Quarter	0605-03 (March)	0605-W09	0605-W-5	Weekday
6050401	6010101	6050101	6050101	6050101	6050401	6050401	6050401	0605-04-01	0601-01-01	0605-01-01	0605-01-01	0605-01-01	0605-04-01	0605-04-01	0605-04-01	6050401	7	605	1	1	2	4	14	91	1	1	1	-43067462400	0605-04-01	April 1st, 0605	01 APR 0605	Seventh	0605-01-01	First	First	Second	April	091	1st	First Monday	Monday	S1	T1	Q2	Apr	1st Mon	Mon	0605-S1	0605-T1	0605-Q2	0605-04 (Apr)	0605-091	0605-First Semester	0605-First Trimester	0605-Second Quarter	0605-04 (April)	0605-W14	0605-W-1	Weekday
6050501	6010101	6050101	6050101	6050501	6050401	6050501	6050429	0605-05-01	0601-01-01	0605-01-01	0605-01-01	0605-05-01	0605-04-01	0605-05-01	0605-04-29	6050501	7	605	1	2	2	5	18	121	1	1	3	-43064870400	0605-05-01	May 1st, 0605	01 MAY 0605	Seventh	0605-01-01	First	Second	Second	May	121	1st	First Wednesday	Wednesday	S1	T1	Q2	May	1st Wed	Wed	0605-S1	0605-T1	0605-Q2	0605-05 (May)	0605-121	0605-First Semester	0605-Second Trimester	0605-Second Quarter	0605-05 (May)	0605-W18	0605-W-3	Weekday
6050601	6010101	6050101	6050101	6050501	6050401	6050601	6050527	0605-06-01	0601-01-01	0605-01-01	0605-01-01	0605-05-01	0605-04-01	0605-06-01	0605-05-27	6050601	7	605	1	2	2	6	22	152	1	1	6	-43062192000	0605-06-01	June 1st, 0605	01 JUN 0605	Seventh	0605-01-01	First	Second	Second	June	152	1st	First Saturday	Saturday	S1	T1	Q2	Jun	1st Sat	Sat	0605-S1	0605-T1	0605-Q2	0605-06 (Jun)	0605-152	0605-First Semester	0605-Second Trimester	0605-Second Quarter	0605-06 (June)	0605-W22	0605-W-6	Weekend
6050701	6010101	6050101	6050701	6050501	6050601	6050701	6050701	0605-07-01	0601-01-01	0605-01-01	0605-07-01	0605-05-01	0605-06-01	0605-07-01	0605-07-01	6050701	7	605	2	2	3	7	27	182	1	1	1	-43059600000	0605-07-01	July 1st, 0605	01 JUL 0605	Seventh	0605-01-01	Second	Second	Third	July	182	1st	First Monday	Monday	S2	T2	Q3	Jul	1st Mon	Mon	0605-S2	0605-T2	0605-Q3	0605-07 (Jul)	0605-182	0605-Second Semester	0605-Second Trimester	0605-Third Quarter	0605-07 (July)	0605-W27	0605-W-1	Weekday
6050801	6010101	6050101	6050701	6050501	6050601	6050801	6050729	0605-08-01	0601-01-01	0605-01-01	0605-07-01	0605-05-01	0605-06-01	0605-08-01	0605-07-29	6050801	7	605	2	2	3	8	31	213	1	1	4	-43056921600	0605-08-01	August 1st, 0605	01 AUG 0605	Seventh	0605-01-01	Second	Second	Third	August	213	1st	First Thursday	Thursday	S2	T2	Q3	Aug	1st Thu	Thu	0605-S2	0605-T2	0605-Q3	0605-08 (Aug)	0605-213	0605-Second Semester	0605-Second Trimester	0605-Third Quarter	0605-08 (August)	0605-W31	0605-W-4	Weekday
6050901	6010101	6050101	6050701	6050901	6050601	6050901	6050826	0605-09-01	0601-01-01	0605-01-01	0605-07-01	0605-09-01	0605-06-01	0605-09-01	0605-08-26	6050901	7	605	2	3	3	9	35	244	1	1	7	-43054243200	0605-09-01	September 1st, 0605	01 SEP 0605	Seventh	0605-01-01	Second	Third	Third	September	244	1st	First Sunday	Sunday	S2	T2	Q3	Sep	1st Sun	Sun	0605-S2	0605-T2	0605-Q3	0605-09 (Sep)	0605-244	0605-Second Semester	0605-Third Trimester	0605-Third Quarter	0605-09 (September)	0605-W35	0605-W-7	Weekend
6051001	6010101	6050101	6050701	6050901	6051001	6051001	6050930	0605-10-01	0601-01-01	0605-01-01	0605-07-01	0605-09-01	0605-10-01	0605-10-01	0605-09-30	6051001	7	605	2	3	4	10	40	274	1	1	2	-43051651200	0605-10-01	October 1st, 0605	01 OCT 0605	Seventh	0605-01-01	Second	Third	Forth	October	274	1st	First Tuesday	Tuesday	S2	T2	Q4	Oct	1st Tue	Tue	0605-S2	0605-T2	0605-Q4	0605-10 (Oct)	0605-274	0605-Second Semester	0605-Third Trimester	0605-Forth Quarter	0605-10 (October)	0605-W40	0605-W-2	Weekday
