Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
0928-01-01	9280101	9280101	0928-01-01	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0927-12-29	9271229	1	0927-W01	Thursday	001	01
0928-01-02	9280102	9280102	0928-01-02	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0927-12-29	9271229	1	0927-W01	Friday	002	02
0928-01-03	9280103	9280103	0928-01-03	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0927-12-29	9271229	1	0927-W01	Saturday	003	03
0928-01-04	9280104	9280104	0928-01-04	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0927-12-29	9271229	1	0927-W01	Sunday	004	04
0928-01-05	9280105	9280105	0928-01-05	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-05	9280105	2	0928-W02	Monday	005	05
0928-01-06	9280106	9280106	0928-01-06	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-05	9280105	2	0928-W02	Tuesday	006	06
0928-01-07	9280107	9280107	0928-01-07	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-05	9280105	2	0928-W02	Wednesday	007	07
0928-01-08	9280108	9280108	0928-01-08	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-05	9280105	2	0928-W02	Thursday	008	08
0928-01-09	9280109	9280109	0928-01-09	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-05	9280105	2	0928-W02	Friday	009	09
0928-01-10	9280110	9280110	0928-01-10	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-05	9280105	2	0928-W02	Saturday	010	10
0928-01-11	9280111	9280111	0928-01-11	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-05	9280105	2	0928-W02	Sunday	011	11
0928-01-12	9280112	9280112	0928-01-12	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-12	9280112	3	0928-W03	Monday	012	12
0928-01-13	9280113	9280113	0928-01-13	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-12	9280112	3	0928-W03	Tuesday	013	13
0928-01-14	9280114	9280114	0928-01-14	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-12	9280112	3	0928-W03	Wednesday	014	14
0928-01-15	9280115	9280115	0928-01-15	0901-01-01	9010101	10	10th	0928-01-01	9280101	928	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-01	9280101	1	0928-01-01	0928-01-12	9280112	3	0928-W03	Thursday	015	15
