Time	TimeKey	TimeNumber	TimeName	Hour	HourKey	HourNumber	HourName	HalfHour	HalfHourKey	HalfHourNumber	HalfHourName	QuarterHour	QuarterHourKey	QuarterHourNumber	QuarterHourName	Minute	MinuteKey	MinuteNumber	MinuteName	TimeOfDay	TimeOfDayKey	TimeOfDayNumber	TimeOfDayName	SubTimeOfDay	SubTimeOfDayKey	SubTimeOfDayNumber	SubTimeOfDayName
09:00:00	90000	90000	09:00:00	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:01	90001	90001	09:00:01	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:02	90002	90002	09:00:02	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:03	90003	90003	09:00:03	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:04	90004	90004	09:00:04	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:05	90005	90005	09:00:05	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:06	90006	90006	09:00:06	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:07	90007	90007	09:00:07	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:08	90008	90008	09:00:08	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:09	90009	90009	09:00:09	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:10	90010	90010	09:00:10	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:11	90011	90011	09:00:11	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:12	90012	90012	09:00:12	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:13	90013	90013	09:00:13	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:14	90014	90014	09:00:14	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:15	90015	90015	09:00:15	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:16	90016	90016	09:00:16	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:17	90017	90017	09:00:17	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:18	90018	90018	09:00:18	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:19	90019	90019	09:00:19	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:20	90020	90020	09:00:20	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:21	90021	90021	09:00:21	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:22	90022	90022	09:00:22	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:23	90023	90023	09:00:23	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
09:00:24	90024	90024	09:00:24	09:00:00	90000	9	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	1	09:00:00	09:00:00	90000	0	09:00:00	05:00:00	50000	5	05:00:00	05:00:00	50000	2	05:00:00
